BreachDate,PwnCount,,,,
1/1/2020,645786,,,,
18/9/2015,620677,,,,
1/2/2016,1771845,,,,
16/7/2019,1858124,,,,
11/2/2015,40256,,,,
23/12/2021,3756794,,,,
10/3/2011,40767652,,,,
12/2/2018,542902,,,,
22/4/2016,582578,,,,
15/2/2014,1057819,,,,
1/6/2016,776648,,,,
1/12/2018,16717854,,,,
4/4/2008,252216,,,,
31/1/2017,380830,,,,
1/7/2016,110355,,,,
2/5/2014,35368,,,,
1/7/2016,2491103,,,,
28/4/2018,764357,,,,
17/5/2016,1270564,,,,
14/5/2015,4261179,,,,
26/2/2021,66521,,,,
23/10/2015,1217166,,,,
24/2/2019,1506242,,,,
1/3/2015,2064274,,,,
1/3/2012,8243604,,,,
4/6/2019,1408078,,,,
11/12/2010,1247574,,,,
4/5/2017,2481121,,,,
15/8/2016,1073164,,,,
13/12/2022,5274214,,,,
2/10/2020,1301460,,,,
9/9/2022,79195,,,,
10/10/2016,22526334,,,,
11/8/2022,2376330,,,,
7/2/2022,89966,,,,
27/3/2020,2330735,,,,
24/10/2015,3430083,,,,
21/10/2018,242715,,,,
12/7/2007,2136520,,,,
1/7/2016,669584,,,,
3/10/2020,113990759,,,,
1/8/2016,197184,,,,
1/4/2016,143569,,,,
12/1/2021,375928,,,,
17/7/2021,112031,,,,
25/6/2011,191540,,,,
6/7/2015,32310,,,,
7/8/2018,28510459,,,,
25/6/2020,1369180,,,,
25/3/2017,321920,,,,
8/7/2015,47297,,,,
21/12/2011,28641,,,,
4/1/2013,179967,,,,
17/12/2012,8089103,,,,
1/1/2014,13873674,,,,
19/6/2016,611070,,,,
10/2/2020,8815692,,,,
1/3/2015,999991,,,,
10/10/2019,290955,,,,
30/12/2017,45701,,,,
23/5/2018,48881308,,,,
4/1/2020,1488089,,,,
24/8/2018,411755,,,,
1/1/2017,36916,,,,
14/3/2019,20727771,,,,
15/3/2021,3966871,,,,
15/7/2016,2191565,,,,
31/12/2018,4216063,,,,
18/10/2014,188847,,,,
20/8/2021,878209,,,,
22/9/2013,49467477,,,,
1/9/2013,1749806,,,,
23/5/2021,20154583,,,,
28/10/2019,583377,,,,
22/7/2014,104097,,,,
10/3/2019,3073409,,,,
4/11/2015,3439414,,,,
1/7/2015,2460787,,,,
3/1/2019,17204697,,,,
25/3/2020,1541284,,,,
1/1/2013,77449341,,,,
11/8/2020,9052457,,,,
1/2/2018,10981207,,,,
